id;title;seller_id;condition;price;currency_id;sold_quantity;start_time;condition;status;accepts_mercadopago;
MLA1150951174;Google Chromecast With Google Tv De Voz 4k 8gb Snow Con 2gb De Memoria Ram;156810734;new;19899;ARS;5;2022-08-10T14:41:38.000Z;new;active;true;
MLA1178352138;Google Chromecast Ga00439 3.ª Generación Full Hd Carbón;58188094;new;9799;ARS;1;2022-09-27T16:19:53.000Z;new;paused;true;
MLA1122135208;Google Chromecast 2.ª Generación Full Hd 256mb Negro Con 512mb De Memoria Ram;69526727;new;9999;ARS;500;2022-02-03T20:50:27.000Z;new;active;true;
MLA832074188;Xiaomi Mi Box S Mdz-22-ab De Voz 4k 8gb Negro Con 2gb De Memoria Ram;318494504;new;23999;ARS;5000;2019-12-27T20:46:11.000Z;new;active;true;
MLA1207533583;Xiaomi Mi Tv Stick Mdz-24-aa De Voz Full Hd 8gb Negro Con 1gb De Memoria Ram;182932036;new;14899;ARS;50;2022-10-21T23:41:58.000Z;new;active;true;
MLA1177664828;Xiaomi Stick 4k Mdz-27-aa De Voz 4k 8gb Negro Con 2gb De Memoria Ram;630535017;new;19999;ARS;50;2022-09-26T13:43:40.000Z;new;active;true;
MLA1199951609;Google Chromecast With Google Tv De Voz 4k 8gb Sky Con 2gb De Memoria Ram;318494504;new;24999;ARS;5;2022-10-18T20:37:46.000Z;new;active;true;
MLA1133995390;Google Chromecast 2.ª Generación Full Hd 256mb Rojo Con 512mb De Memoria Ram;119914491;new;9999;ARS;200;2022-04-26T19:43:11.000Z;new;active;true;
MLA1134018363;Google Chromecast 2.ª Generación Full Hd 256mb Amarillo Con 512mb De Memoria Ram;309453406;new;9999;ARS;100;2022-04-26T19:45:47.000Z;new;active;true;
MLA1164049535;Tv Box Nvidia Shield Tv Pro Versión 2019 De Voz 4k 16gb Negro Con 3gb De Memoria Ram;482880972;new;89099;ARS;1;2022-09-07T14:26:53.000Z;new;active;true;
MLA782706781;Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente;69526727;new;10999;ARS;5000;2019-04-22T15:38:33.000Z;new;active;true;
MLA910314339;Chromecast With Google Tv  De Voz 4k 8gb  Snow 2gb Ram;318494504;new;24949;ARS;500;2021-03-02T20:03:52.000Z;new;active;true;
MLA770867984;Google Chromecast 2 Gener. Smart Tv Hdmi Ver. Bulk Sin Caja;69526727;new;8499;ARS;500;2019-02-13T18:13:34.000Z;new;active;true;
